row.names;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011
Sorghum;14,05;15,13;14,98;14,53;13,22;15,76;14,78;12,95;12,44;11,75;12,19;11,23
Maize;12,41;10,23;12,08;11,67;12,46;11,17;11,35;13;15,2;14,06;14,04;14,12
Rice;1,01;3,91;2,83;3,13;3,26;5,44;5,59;5,58;6,02;7,66;7,8;7,85
Beans;23,25;24,17;25,46;24,67;24,11;24,44;26,6;30,51;28,09;28,66;27,76;27,13
Cassava;88,92;92,89;100,15;95,66;85,52;85,58;81,91;82,55;92,9;87,52;90,51;90,64
Potato;74,44;99,57;99;114,48;109,93;116,63;112,22;92,87;99,23;101,15;100,9;99,86
Sweet Potato;115,64;124,08;124,03;99,73;92,26;88,29;75,6;79,62;75,95;71,6;72,86;71,28
